,mid,uid,repost_count,like_count,comment_count,verification,text,textlength,moral_score,moral_wc,immoral_wc,other_wc,positive_prob,surprise,comments_count,average_commenter_follow,average_commenter_follower,average_moral_word,average_immoral_word,commenter_gender_ratio,average_positive_possibility,positive_negative_ratio,average_text_lenth,average_moral_score,average_moral_emo,average_nonmoral_emo,moral_emo,nonmoral_emo,keyword_code
329,4970839858747265,3142233143,0,113,1,0,"1. China Securities Liquor (Food and Beverage): Yesterday, the volume increased, and the increase was not bad. There was a slight correction today and it basically stood firm on the 10-day line. The technical situation has improved, the trend is upward, the bullish signal has been established, the indicators are good, and you can choose the opportunity to intervene! 2. CSI Healthcare: It jumped short, opened lower, and closed lower at midday, with the 20-day moving average falling. MACD crosses dead, technical indicators have deteriorated across the board, and the market outlook is bearish! 3. Innovative drugs: It fell slightly at midday and continued to fluctuate within a narrow range. The technical indicators are poor and it is not suitable to move blindly! Diet pills: It rose slightly at midday and continued to fluctuate within the box. There are still poor technical indicators, so it is not advisable to move blindly! Since the index has not been constructed for a long time and there is little historical data, judging from the existing data: Wave 1 is completed, it is in the delicate stage of wave 2 bottoming out and wave 3 not starting. There is a gap above the box to suppress it, so you still need to be cautious when operating. Some! 4. CSTC: It rose slightly at midday, with no obvious signs of peaking and no bearish signal. The technical indicators are good and the trend is upward. You can hold it patiently! 5. Hang Seng Medical: It closed lower at midday, falling below the 20-day line, and may continue to drop near the 60-day line. Technical indicators have deteriorated, and the market outlook is bearish! 6. New Energy (CSI Environmental Protection): It closed down at midday and emerged from an arc top shape. The technical indicators are poor and short-term bearish! 7. Photovoltaic industry: It closed down at midday and fell below the 20-day moving average. The technical indicators are poor and it is not suitable to move blindly! 8. Semiconductor chips: It closed down at midday, the 20-day moving average was broken, and the technical indicators are poor, so it is not suitable to move blindly. The next sniping point is near the 60-day line, patiently wait for the opportunity to take action! Consumer Electronics: It opened lower and moved lower. It closed lower at midday and fell below the 20-day moving average. The 60-day moving average fell. The technical indicators are poor and it is not suitable to move blindly. 9. Military industry index: fell slightly in midday trading, with the 5-day moving average turning downward, and the trend was weak. However, due to better technical indicators, MACD Ssangyong is out of water, so you can continue to hold it! Shipping: Slightly lower in midday trading. The technical indicators are good and there are no obvious signs of peaking! 10. 5G concept: It closed down at midday and fell below the 10-day moving average. Technical indicators deteriorated. Bearish signals were basically established. Short-term bearishness. Because the medium and long-term technical aspects are good, you can continue to hold it for medium- and long-term investments! 5G Communications: It closed down at midday, falling below the 20-60 day line, approaching the 6-day gap. The MACD is about to cross, the technical indicators have deteriorated, and the gap below is more likely to be filled. The market outlook is bearish! 11. Communication equipment: It closed down at midday, the 5-day moving average crosses the 10-day moving average, the head is established, the indicators deteriorate, and the market outlook is bearish! 12. Securities: It fell slightly at midday and continued to fluctuate within the box. However, the indicators have deteriorated, so it is not advisable to continue to be bullish! 13. Insurance: Yesterday it rose and fell, and the construction of a small double bottom failed. It fell slightly today, with the 5-day SMA golden cross and the 10-day SMA golden cross, indicating that the market outlook is getting better. However, there are still poor indicators, so it is not advisable to act blindly! 14. Bank: Slightly higher at midday, the 5-day SMA is golden cross and the 10-day SMA is golden cross, MACD is golden cross, the technical indicators are good, you can choose the opportunity to enter the market! 15. National Securities Real Estate: Real estate performance was eye-catching yesterday. Volume continues to rise today, the technical indicators are good, and you can choose the opportunity to enter the market. 16. Infrastructure projects: It fell slightly at midday, although it was still at the bottom area. But the indicators are better, so you can enter the market at the right time! 17. Electricity: Flat at midday, indicators are good, hold patiently! 18. CSI Coal: Slight increase on heavy volume, good indicators, hold patiently! 19. Steel: It closed down at midday, the technical indicators are good, MACD is about to break out, hold patiently! 20. Building materials (cement): Yesterday it rose and fell, but the breakthrough failed. It closed down at noon today, the indicators are poor, so it is not advisable to act blindly! 21. Computer: It closed down at midday, the bearish signal has been established, the indicators have deteriorated, it is not appropriate to continue to be bullish! Artificial Intelligence (Cloud Computing): It closed down at midday, the indicators deteriorated, it is not appropriate to continue to be bullish! 22. Complete automobiles: gapped low, opened low, and closed down at midday. The indicators are very poor, and the market outlook is bearish! Auto parts: ended lower at midday, bearish signal established. However, at present, the moving averages are arranged in a long position, and the indicators are still good, so those who are aggressive can continue to hold! 23. New Energy Vehicles (CSI): It closed down at midday, falling below the 20-day line, MACD crossed, indicators deteriorated, and the market outlook is bearish! 24. Gold concept: It fell slightly at midday and showed signs of peaking. However, the indicators are good and we are not bearish above the 5-day line! 25. Home appliances: closed down at midday, technical indicators are still good, hold patiently! 26. Agriculture: It opened low and moved high, closed up at midday, and emerged from a bullish pattern. The technical indicators are good, and it continues to be bullish! Pork: It closed up on heavy volume at midday, and its performance has been eye-catching in the past few days. At present, the moving averages are arranged in a long position, the indicators are good, and the signal on the right appears, the market outlook is bullish! 27. China Securities Media: It closed up on heavy volume at midday, with good indicators and no signs of peaking! 28. Logistics: It closed down at midday, and there seemed to be signs of peaking. However, the indicators are still good, and we are not bearish above the 5-day line! 29. Rare earth industry: Opened low and moved low, closing down at midday, technical indicators deteriorated, bearish signals were established, and the market outlook is bearish! 30. National Securities Nonferrous Metals: It closed down at midday, technical indicators deteriorated, it is not appropriate to continue to be bullish! 31. Lithium battery: It closed down on heavy volume at midday, with indicators deteriorating and signs of accelerating decline! Lithium mine: Heavy volume closed down at midday, falling below the 20-day line, indicators worsened, and the market outlook is bearish! 32. CSI Travel: Slightly higher at midday, indicators are good, hold patiently! 33. Game: Small rise in midday, good indicators, hold patiently! 34. Shanghai Composite 50: It rose and fell yesterday, and the bullish signal cannot be confirmed. It fell slightly at midday today, and there are still poor indicators, so it is not advisable to act blindly! 35. Kechuang 50: It closed down at midday, falling below the 20-day moving average, MACD crossed, indicators deteriorated, and the market outlook is bearish! 36. Hang Seng Technology: Yesterday, it fell back from highs, fell on heavy volume, and closed on the negative line. It was flat at midday today, but some indicators are still poor, so it’s not advisable to act blindly! 37. Nasdaq: There was a slight correction last night, with no obvious signs of peaking. At present, the moving averages are arranged in a long position and the technical indicators are good. You can continue to hold! 38. Technology 100: It closed down at midday, fell below the 20-day moving average, emerged from the triple death cross pattern, covered part of the gap, the indicators deteriorated, and the market outlook is bearish! Like it after reading it and earn big every day! This article focuses on technical analysis before midday. It is for reference only and is not used as a basis for late trading operations! The stock market is risky, so be cautious when entering the market! L-share God of Wealth Zhao Gongming’s Weibo video close d",320,-0.0077264275829516,3,3,319,100.0,0,1,363.0,10000.0,0,0,1.0,99.9999,2.0,45.0,0.0,0.0,1.0,24,34,1
344,4970805880686513,7004929019,0,0,1,0,"AI Artificial Intelligence - Sickle: The self-proclaimed &quot;AI boss&quot; PK chases the big model - Leek: Investors Sickle and Leek - the eternal theme of the stock market is enduring. As the industry has been cold, since receiving a new round of financing in December last year, Shenlan Technology has not received financing in nearly 7 months. As the acquirer, Shenlan Technology was still seeking financing from investment institutions on the eve of Huamai Technology’s private placement plan. It is currently seeking approximately 80 million yuan in financing, but has been denied by the company. Use 50 million of your own funds to leverage a 400 million bank loan to purchase control of a listed company. Will Shenlan Technology be incorporated into the listed company in the next step to achieve a backdoor listing? With the emergence of ChatGPT, artificial intelligence has been pushed to a higher level of focus in the capital market. It is this kind of imagination that has allowed Huamai Technology, with a market value of less than 3 billion, to hit the daily limit 6 times in a row. As the core operating platform of this transaction, Shenlan Holdings looks like a company specially set up to take over Huamai Technology. It was founded on March 21, 2023 and has not yet carried out substantive operating activities. However, there is still little information about the counterparty Shenlan Holdings. Judging from the source of funds from 50 million of its own funds to leverage 400 million of M&amp;A loans, the financial strength is questionable! The Shanghai Stock Exchange asked: About 80% of the funds required for this private placement come from bank loans. Whether it can be promoted will heavily rely on bank credit, resulting in significant uncertainty in the results of this private placement and the transfer of control rights? Nearly 80% of the acquisition funds come from bank loans, indicating that the acquirer lacks financial capabilities and does not rule out the possibility of speculation! There are not many private placements in the market that end without problems. Investors should avoid blindly following the trend to avoid the risk of stock price speculation. Conflicting information disclosure, investors beware of risks. Although the results of Huamai Technology’s private placement and control transfer have not yet been finalized, its stock price has reached the daily limit of 6 times. For this reason, the Shanghai Stock Exchange questioned whether Huamai Technology had other interest arrangements for this private placement, and in the second inquiry letter required the company and relevant parties to make additional disclosures and explain whether the relevant arrangements involved stock price speculation. Hide d",198,0.0005636447286768,1,1,202,100.0,0,1,993.0,172.0,0,0,1.0,81.1328,2.0,7.0,0.0,0.0,0.0,6,9,1
348,4970800672411776,3552985031,0,10,2,0,A-share [Announcement Collection] [Major Events] 33-day 17-board Shenglong Shares: The revenue share of supporting oil pumps and other products for Cyrus is relatively small 8-board Yinbaoshan New: There have been no major changes in operating conditions and operating environment IV Lianban Gravity Media: The company’s main business does not yet involve Douyin’s short video payment business; 8 Lianban Sanboshuo: The stock price rise far deviates from the company’s fundamentals. The company’s stock price has the risk of irrational speculation. Tianyin Holdings: Honor Terminal Rumors that a backdoor company may be listed are inconsistent with the facts. Silianban Aotejia: There is no single business project that can significantly increase revenue in the near future. Broadcom shares: It has not signed any cooperation agreement with Huawei and does not involve the &quot;Hongmeng Concept&quot;. Yawei shares: Directly holds Weibo shares. Maixin Materials’ 10.54% equity investment income has little impact on the competition. Intelligent: The company’s inspection robot-related products involve relatively small income. Chaoxun Communications: Plans to become the general agent of “Muxi” brand GPU products in specific industries [increase or decrease holdings] Dishengli: Taifeng International plans to reduce its holdings in the company to no more than 1% of the company&#39;s shares. Songsheng shares: specific shareholders plan to reduce their holdings in the company to no more than 0.16% of the shares. [Equity repurchase] Jinkai Xinneng: plans to repurchase shares of Yinlun shares for no more than 240 million yuan. : Plans to repurchase the company&#39;s shares for 50 million to 100 million yuan He&#39;s Ophthalmology: Plans to repurchase shares for 67.5 million to 120 million yuan [Winning Bid] Zhejiang Construction Investment: The subsidiary won the bid for the 3.874 billion yuan China Mobile Fotan Data Center Project_CMFD Guangdian Express: pre-selected for the Guangzhou Data Group Artificial Intelligence Public Computing Center construction project PowerChina: its subsidiary won the bid for the 5.475 billion yuan EPC general contracting project Longyuan Construction: Sun Company signed a major contract of approximately 370 million yuan Closed,184,-0.0795698590688465,0,1,190,0.0988,0,1,404.0,212.0,0,0,1.0,51.2955,2.0,2.0,0.0,0.0,0.0,3,6,1
354,4970795413014515,1268425765,3,18,7,0,"Rookie Army Daily: There is a children&#39;s paradise in the People&#39;s Park. I saw the golden color of autumn. I heard that most parts of the country are about to cool down. The temperature here in Shanghai is suitable these days, 18 to 20 degrees, which is very comfortable. Stock market forecast: Yesterday was the first warning of the risk of peaking. The 13% rise in US stocks is estimated to have come to an end. The hype momentum of Microsoft and Nvidia, the leaders of artificial intelligence, is unsustainable and has overdrawn the imagination of the future. It is expected that there will be a decline in the future. . Our stocks on the Beijing Stock Exchange rose sharply yesterday, which illustrates the final madness of theme stocks. The flowers are no longer blooming, it’s time to rest. The Eagle Army is the force that drives rookies to become eagles. L war eagle gavin50&#39;s Weibo video close d",90,-0.0059081918961479,0,1,92,39.6084,0,3,584.0,10000.0,2,0,0.6667,46.1484,0.6667,11.666666666666666,0.468,0.0,0.3333,1,3,1
358,4970788844737977,6320886221,0,6,1,0,"Sentiment + disk double peak and bottom buying, this sector is about to become the new main line (refer to 11-22 in the morning review) on Tuesday, the index shot up and fell back, and the main index closed in the green. The pressure above 3100 points on the Shanghai Stock Index is relatively obvious, and at the same time, the 60-day moving average resistance resonates. The pressure is a little higher on Wednesday and Thursday. There are repetitions here, but the trend is no problem. However, the amount of energy close to one trillion can maintain the current position shock and hot spot rotation. Real estate, online consumption, short dramas, etc. are active on the market, and technology stocks are among the top losers. In the short term, as the sentiment and index levels of consecutive highs have both peaked, high-priced stocks have the potential to compensate for losses, and the market will have a high-low logic. In the short term, this wave of chip market is coming to an end. Yinbaoshan’s new 8-board market can be regarded as a small cycle suppression that breaks through the seven-board market, but there is no assist from the lower echelon of the sector. Wenyi Technology, which has high core standards, can only maintain high fluctuations under the 30-day 200% regulatory suppression. This is in the ebb phase of a small cycle. The market for computing power leasing has also come to an end. Hengwei Technology in the front row has dropped by the limit, and Zhongbei Communications, the core of the trend, has fluctuated at a high level. If these high marks are not breached again this week. On the contrary, here you can pay attention to oversold AI. Many stocks that have fallen in this direction have made solid bottoms, and there has been some cooperation in the news. When sentiment and indexes both peak, the market will inevitably experience high and low cuts, and look for breakthroughs in the low direction with higher cost performance. As far as the current situation is concerned, It seems that the best direction for cutting high and low is AI. The core point of artificial intelligence is still optimistic about computing power. Guangdong: Build the Greater Bay Area data element trading market to support the Guangzhou and Shenzhen data exchanges in establishing national data exchanges; through the construction of the &quot;Digital Bay Area&quot;, drive the comprehensive digital development of the Greater Bay Area and create the bay area with the highest level of digitalization in the world. Digitalization will become a new engine to promote high-quality economic and social development in the Guangdong-Hong Kong-Macao Greater Bay Area. Hide d",205,-0.0980963953983545,2,1,211,100.0,0,1,8.0,4.0,0,0,1.0,54.2385,2.0,3.0,0.0,0.0,0.0,9,20,1
360,4970788239185950,6510736027,1,209,1,0,"Analysis and prediction of several major A-share sectors tomorrow: 1-Securities: Although it rose and fell back today, closing slightly lower, according to my observation, this should be the main force testing the market, and it will rise again tomorrow, or close the positive line. 2-Bank: A new round of rise has begun. The long upper shadow line closed today is an obvious fairy-guiding K-line. It will fluctuate higher tomorrow and may close sharply. 3-Liquor: A new round of rise is on the way, and it will continue to rise tomorrow. It will fall back after a high or close the positive line. 4-New Energy: Although it opened higher and fluctuated lower today and closed slightly lower, this is a very normal trend in the early stage of a rising market. Tomorrow, it will rise and rise after a narrow range of fluctuations, and then fall back or close with a small positive line. 5-Semiconductor: It opened low and fluctuated lower today, and closed sharply. According to my observation, short-term adjustments are basically in place. Tomorrow it will dip slightly and then rise to start a new round of rise, or it may close with a big positive line. 6-Artificial Intelligence: The recent gains have been too great, and the short-term adjustment has not ended. It will continue to fall tomorrow, and may close sharply. 7-Real estate: Affected by external favorable factors, it opened higher and fluctuated higher today. It is obvious that a new round of rise has arrived. Although it fell back after rising high during the session, it will not change the upward trend and will continue to rise tomorrow, or may close on the positive line. 8-Medicine: Short-term adjustments are not in place, and it will fall again tomorrow, or close the negative line. Note: The above content is only a personal opinion and does not constitute investment advice. Investment is risky, so please be cautious when entering the market. Hide d",125,-0.0272006316614586,0,0,127,4.0269,0,1,20.0,469.0,0,0,0.0,53.5856,2.0,8.0,0.0,0.0,1.0,5,1,1
362,4970786768292431,1739980167,3,6,1,0,"231122V+ member·Research report &quot;Open high and move low/Differences between long and short increase the volume game/Closing green and shorts dominate&quot; --- Analyzes the 30-minute technical trends of the Shanghai Composite Index and GEM for Week 2, and the strong rebound of U.S. stocks overnight showed bands Affected by the new high, the three major stock indexes jumped slightly in early trading, opening higher and moving higher. After the Shanghai Composite broke through the previous high, it made a slight correction and fluctuated. It dived in the afternoon, covered the gap, and turned green. The Shanghai Composite Index fell slightly by 0.01% to 3067.93 points, the Shenzhen Component Index fell by 0.26% to 9997.09 points, the ChiNext Index fell by 0.44% to 1984.27 points, the Shanghai Composite 50 Index rose by 0.48%, and the Beixin 50 Index was independently strong, rising by 4.5%; both markets saw heavy volume Nearly one trillion yuan, with a total transaction volume of 998.1 billion yuan. Northbound funds flowed in significantly during the day, but quickly left the market at the end of the day. Net purchases were 142 million yuan. The real estate, media, and home furnishing sectors strongly pulled up to protect the market, and winemaking. Semiconductor, military industry, brokerage and other sectors were weak. Individual stocks fell more than they rose, with 3,364 stocks falling. The average share price fell by 0.19%. Judging from the market trend on Tuesday, the main bulls took the opportunity to achieve a partial breakthrough in the band rebound, but they had no choice but to follow up and lacked the strength. Northbound funds also made a contribution during the intraday trading, but due to the excessive pressure from above, they took the opportunity to make short-term profits and unwind the arbitrage. The trading volume of nearly one trillion yuan shows that the bulls have made considerable efforts, and it also shows that the differences between long and short have increased. The final close was dominated by shorts, making the rebound full of variables. In other words, the long-short game will become more intense in the later period, and the market direction will be highly uncertain. See below for specific trend structure positioning. The ideal result is that another thorough laundering of chips before the end of the year will shake up the chips and hold on to the chips that are eager to exit, and a large number of hands will be changed at low positions. In this way, the Xiaojin Pit is at the bottom and the Spring Festival Red Envelope Quote/Spring Quote will be easy to enter. The accumulation of policy stimulus in the early stage, the strong start and improvement of the real economy, the festive atmosphere, and the entry of year-end bonuses into the market... market expectations and consensus will explode. By then, the policy will be even more perfect with a little more rain and dew, and a few thousand pounds. 1. According to news on the 20th, multiple insiders revealed that the regulatory authorities clearly required at the symposium on the 17th that the growth rate of each bank’s own real estate loans should not be lower than the average real estate growth rate of the banking industry, and the growth rate of corporate loans to non-state-owned real estate enterprises The growth rate of real estate loans shall not be lower than the Bank&#39;s real estate growth rate, and the growth rate of individual mortgage loans to non-state-owned real estate enterprises shall not be lower than the Bank&#39;s mortgage growth rate. (Economic Observer Network) [Comment]: The property market is already a serious buyer’s market! The fundamental solution to the problem is the needs of residents and actual purchasing power. If this problem is not solved, how to save real estate companies will be nonsense! Your transformation from three red lines to three or more is actually an emergency medical treatment, or it may have a certain positive effect on unfinished buildings. However, the trend in the property market has greatly increased supply pressure, leading to a greater crisis of oversupply. If you need to go bankrupt, you will go bankrupt. If you are unfinished, you should be in debt with the bank, because the house is mortgaged to you and you lack financial supervision. Relevant departments should also avoid it. The off-plan housing and low down payment system are the root cause. Homebuyers cannot be held responsible. This kind of treatment of headaches and pains is an economic management with Chinese characteristics. When accumulation reaches a certain threshold, the crisis will inevitably be liquidated. Can the financial symposium be chicken soup to comfort the market, saying it is good? The market no longer believes in tears. . 2. On Tuesday, the central bank carried out a reverse repurchase operation of 319 billion yuan, with a net withdrawal of 105 billion yuan. A total of 1.761 billion reverse repurchases by the central bank will expire this week, of which 113 billion, 424 billion, 495 billion, 377 billion and 352 billion will expire respectively from Monday to Friday [Comment]: In fact, the central bank’s large reverse repurchase stock is under pressure has been the case in recent weeks. Although the previous spicy noodle sequel had a net investment of 600 billion, the market is still very fragile. The property market continues to cool down and fall significantly; the stock market is like a bucket that cannot be helped... The reason is that the additional issuance of 1 trillion special government bonds and the large-scale issuance of local bonds have drawn a lot of blood from the market. Some people regard it as a good thing. I don’t know what the logic is. Is it good for the White House to issue a large amount of U.S. debt? The domestic media criticizes it every day, and it is a &quot;major benefit&quot; for itself. Cutting interest rates and RRR cuts are good news, but why do they need to be cut? The economy is improving, does it need to drop? What truth does the large-scale reduction show? Just like the central bank&#39;s reverse repurchase, which continues to release a large amount of water, is it a good thing? Why must it be released? 3. Overseas buyers evacuate collectively! Bridgewater Dalio warns: U.S. debt is approaching a turning point for deterioration. On the 21st, Bridgewater founder Dalio said that as government debt grows faster than income, the financial situation of the United States is approaching an accelerating &quot;inflection point.&quot; The hole grows deeper as the U.S. government borrows more and more money to pay its debt without spending any less. &quot;The way it works can only continue to accelerate... We are in a phase of this acceleration, which creates supply and demand issues.&quot; Earlier, Fitch, one of the three major U.S. rating agencies, had downgraded the U.S. credit rating, and another authority Ratings agency Moody&#39;s also lowered its outlook on U.S. debt ratings this month. Dalio asked: &quot;As a country, do we have a good income statement and balance sheet - do we have more assets than liabilities? The worse it gets, the more long-term problems we&#39;re going to have. You can see it in the numbers. &quot;It&#39;s just a matter of numbers. We&#39;re getting close to that inflection point.&quot; Last year, the government added $1.7 trillion to the deficit to keep spending on pace. . [Comment]: The recent rebound in U.S. bonds is a normal market spiral rhythm. It is not that the U.S. debt crisis has been eliminated. On the contrary, the future crisis will be even greater. Dario&#39;s warning cannot be ignored. Unless the U.S. debt crisis triggers something special, this crisis cycle will not pass, it will not be countercyclical, and it will not be cross-cyclical. Master, please stay here. . Figure 1: 30-minute trend chart of the Shanghai Composite Index. The 30-minute trend of the Shanghai Composite Index on Tuesday increased first and then declined. In early trading, under the influence of the overnight surge in U.S. stocks and the so-called &quot;three major positives&quot; in China, it opened slightly higher and broke through the pink C3 high, then pulled back slightly and fluctuated within a narrow range. The divergence between long and short has increased, and there is a struggle. In the afternoon, the main force, including northbound funds, saw insufficient market follow-up, so they could only partially close their positions and sell. The trend quickly dipped, covered the gap, turned green, touched the short-term support line and closed, not close to the previous rebound high. The current preferred hypothesis is large C1…. ...Maintain short-term trading strategy: ...If it falls below the third trend line - the bottom trend line, pay attention to the risk of reversal of the swing trend. Figure 2: ChiNext 30-minute trend chart The ChiNext 30-minute trend on Tuesday showed that it opened slightly higher with resonance in early trading, surged upward, and fell back after touching the short-term pressure line. It fluctuated in a small range before noon, dived slightly in the afternoon, broke through the 60 moving average and the Bollinger Middle Track, and closed with support from the third trend line. Its preferred hypothesis is large C1…. Below...especially...beware of rally end risk. On Tuesday, the three major U.S. stock market indexes shrank and closed lower in shock, with individual stocks falling more than rising. It gapped slightly and opened lower in early trading, then fluctuated slightly and rebounded slightly, but the gap in the time-sharing chart has not been filled. The Dow Jones Industrial Average fell 0.18%, the S&amp;P 500 Index fell 0.20%, and the Nasdaq Index fell 0.59%. The S&amp;P 500 and Nasdaq ended a five-session winning streak as retail stocks fell after some disappointing forecasts and technology stocks also fell. The S&amp;P 500 retail index fell 1.2% on the day. Minutes from the latest Federal Reserve/FED meeting showed officials agreed they could take a cautious approach to raising interest rates in the future. Stock indexes have remained low since. Fed officials also said they would only need to raise interest rates if sufficient progress was not being made in lowering inflation, according to minutes of the October 31-November 1 meeting. Stocks have rallied in recent sessions, largely on the belief that the Federal Reserve may be done raising interest rates. Nvidia&#39;s stock price, considered a leader in artificial intelligence chips, closed down 0.9% during regular trading hours, and the semiconductor index fell 1.9%. Volume on U.S. exchanges was 9.40 billion shares, compared with the 10.93 billion average over the past 20 days. Declining issues outnumbered advancing ones on the New York Stock Exchange by a ratio of 1.76 to 1; on Nasdaq, the ratio was 2.29 to 1. The trend of U.S. stocks on Tuesday had the impact of suppressing the rebound of A shares on Wednesday. Summary: The perspective of market institutions: ... 3. The pharmaceutical sector is currently undervalued and underweighted, and is cost-effective. Our point of view is: at present...technical choices. The next trend of U.S. stocks will have a greater impact on the short-term trend of A. We can only follow the market interpretation and go with the flow. Stock market strategy recommendations: In view of the above analysis...operationally... In addition, we continue to recommend that we should learn from Peter Lynch&#39;s &quot;minimum 5-share principle&quot; and the rule of switching back and forth between first-line heavy holdings and second-line reserve stocks. Our Weibo short comments will track market changes in a timely manner. [Disclaimer]: This report is for reference only. Investment is risky, so be cautious when entering the market. Hide d",765,0.0197112924208197,10,4,775,100.0,1,1,510.0,10000.0,0,0,1.0,13.8916,0.5,17.0,-0.0681,0.0,1.0,32,52,1
363,4970786009649338,1974561081,0,2,2,0,"[ ] Hu Xijin posted this afternoon: &quot;What exactly is happening in OpenAI? Simply put, there is a conflict between real interests and idealism. Sam Altman, who was fired by the board of directors, supports effective accelerationism and puts the promotion of artificial intelligence development first. ; The company’s chief scientist Ilya Sutskever pays more attention to preventing the risks of AI and advocates the super-alignment of artificial intelligence. This is originally the thrust and braking force for human development of AI, and both are indispensable. Now Altman has obtained investors and almost all The support of employees has the absolute upper hand, and Saskville has already switched sides.&quot; He mentioned in the article: &quot;AI has just begun, and it is hard to imagine what is in its depth space today. China must speed up AI Research and development, in order to improve our vision and intention of understanding the deep space of AI. It is not only a matter of AI application driving economic development, but also maintaining the fundamentals of national security and the major interests in shaping the right to participate in the future of mankind. Now we are looking at how OpenAI There is a &quot;court fight&quot; between two young entrepreneurs, and the future development direction of AI seems to be determined by their struggle. This is not okay. So what does it mean? We can only accelerate our AI pace at that speed. Generate understanding and gain the right to speak.&quot;",151,0.183646848159998,1,0,161,100.0,0,2,211.5,1069.5,0,0,0.5,12.749,0.3333,6.5,0.0,0.0,0.0,0,18,1
365,4970785917371282,6902250640,0,5,3,0,"NVIDIA, no matter how it goes down, it is really strong, which also illustrates the dominance of artificial intelligence. Big A is currently still a semiconductor, computing power, and short video landscape. The short video climaxed yesterday, so today I will focus on observation. My energy is mainly focused on finding high-tech jobs. Now there are only two stocks, which is much better than three stocks, and the energy is more concentrated. Hi-tech had the strongest performance among computing power stocks yesterday, which also illustrates the importance of domestic substitution. Compared with Zhongbei, which rents computing power from NVIDIA cards, Hengrun has more potential. This is why I like Hi-tech. The biggest advantage is that to put it simply, I prefer Huawei’s domestic computing power, and domestic products should be self-reliant. In addition, Chinese short video is currently the leader in fundamentals, China is the leader in Guangdong Province, sentiment is Long Tianwei, and the trend is another one; for semiconductors, Wenyi also said yesterday that there are no new main players entering the market, so the risk of adjustment is greater. This position It is recommended to observe mainly. See you on the field and good luck, everyone! Chinese online sz300364 high-tech development sz000628 close d",118,-0.3438874025752134,2,1,118,100.0,0,1,45.0,263.0,0,0,0.0,0.8255,0.5,11.0,0.0,1.0,0.0,1,10,1
366,4970785392561064,1727858283,14,80,19,0,"The last number of signatures from OpenAI employees on Monday was 747/770, a ratio of 97%, which is indeed a remarkable achievement. ——BenLandau-Taylor: This action is truly unprecedented. It&#39;s impossible to get 97% of any group to take action based on just a link to a Google Doc and a &quot;sign if you agree.&quot; This hints at the complex operations behind the scenes: a team is contacting each employee, long debates with those who disagree, coordinators using spreadsheets to manage, and so on. ——— OpenAI’s future remained uncertain on Tuesday. Despite significant efforts by employees and investors to oust the board, those efforts have so far failed to convince directors to resign and reappoint co-founder Sam Altman. As of the end of Monday, 747 of OpenAI&#39;s 770 employees had signed a letter threatening to resign if the board refuses to resign and reverses its decision to fire Altman last Friday, according to people with direct knowledge of the matter. And join Microsoft. Meanwhile, venture investors backing the startup focused on generative artificial intelligence are also considering legal options to force the board to reverse its decision, according to multiple people familiar with the matter. Hide d",155,0.1190983330431911,5,2,153,99.9778,0,14,675.0,10000.0,2,2,0.8571,47.4228,1.1429,13.5,-0.697,0.5714,0.9286,4,10,1
